title,tags
Dawn of the Dead,"a group of surviving people take refuge in a shopping center after the world ha been over taken over by aggressive, flesh-eating zombies. a remake of the 1978 zombie film of the same name. fantasy horror action refugee mass_murder habor car_journey department_store blackout bus_ride pregnancy_and_birth dying_and_death bite to_shoot_dead lorry munition basement_garage guard zombie dog car duringcreditsstinger sarah_polley ving_rhames jake_weber zack_snyder when the undead rise, civilization will fall."
The Wedding Planner,"mary fiore, san francisco's premiere wedding planner is rescued from an accident by the man of her dreams, pediatrician steve edison, only to find he is the fiancé of her latest client, wealthy fran donnolly. as mary continues making the wedding arrangements, she and steve are put into a string of uncomfortable situation that force them to face their mutual attraction. comedy san_francisco marriage_proposal love_of_one's_life wedding_planer man_of_one's_dreams wine_garden wedding sicilian star_crossed_lovers wedding_day meant_for_each_other jennifer_lopez matthew_mcconaughey justin_chambers adam_shankman his big day is her big problem."
The Royal Tenenbaums,"an estranged family of former child prodigy reunites when their father announces he ha a terminal illness. comedy drama forgiveness child_prodigy terminal_illness dysfunctional_family cigarette_smoking family_conflict gene_hackman anjelica_huston ben_stiller wes_anderson family isn’t a word, it’s a sentence."
Identity,"complete stranger stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. as their number thin out, the traveler begin to turn on each other, a each try to figure out who the killer is. mystery thriller weather multiple_character scream convict psychopathy rainstorm john_cusack ray_liotta amanda_peet james_mangold the secret lie within."
Last Vegas,three sixty-something friend take a break from their day-to-day life to throw a bachelor party in las vegas for their last remaining single pal. comedy casino male_friendship stag_night las_vegas elderly robert_de_niro morgan_freeman michael_douglas jon_turteltaub it's going to be legendary
For Your Eyes Only,"a british spy ship ha sunk and on board wa a hi-tech encryption device. james bond is sent to find the device that hold british launching instruction before the enemy soviets get to it first. adventure action thriller london_england submarine england sea assassin mountain undercover olympic_games drug_traffic secret_mission secret_intelligence_service kgb coral_reef ski_jump parrot cryptographic_device gang_of_smugglers figure_skating motorcycle monastery british_secret_service skiing roger_moore carole_bouquet chaim_topol john_glen no one come close to james bond, 007."
Serendipity,"although stranger sara and jonathan are both already in relationships, they realize they have genuine chemistry after a chance encounter – but part company soon after. years later, they each yearn to reunite, despite being destined for the altar. but to give true love a chance, they have to find one another again. comedy romance soulmates new_love book dollar fate destiny john_cusack kate_beckinsale jeremy_piven peter_chelsom sometimes true love can have more than one face."
Timecop,"an officer for a security agency that regulates time travel, must fend for his life against a shady politician who ha a tie to his past. thriller science_fiction action crime martial_art time_travel science_fiction alternative_reality jean-claude_van_damme mia_sara ron_silver peter_hyams they killed his wife ten year ago. there's still time to save her. murder is forever... until now."
Zoolander,"clear the runway for derek zoolander, vh1's three-time male model of the year. his face fall when hippie-chic ""he's so hot right now"" hansel scooter in to steal this year's award. the evil fashion guru mugatu seizes the opportunity to turn derek into a killing machine. its a well-designed conspiracy and only with the help of hansel and a few well-chosen accessory can derek make the world safe. comedy male_model time_magazine fashion_show fashion_model fictional_awards_show lincoln_assassination coal_mine ben_stiller owen_wilson christine_taylor ben_stiller 3% body fat. 1% brain activity."
Safe Haven,"a young woman with a mysterious past land in southport, north carolina where her bond with a widower force her to confront the dark secret that haunt her. romance based_on_novel small_town widower single_father abusive_husband julianne_hough josh_duhamel cobie_smulders lasse_hallström you know it when you find it"
Hocus Pocus,"after 300 year of slumber, three sister witch are accidentally resurrected in salem on halloween night, and it u up to three kid and their newfound feline friend to put an end to the witches' reign of terror once and for all. comedy family fantasy witch halloween salem trick_or_treating spellcasting bette_midler sarah_jessica_parker kathy_najimy kenny_ortega it's just a bunch of hocus pocus."
No Reservations,"master chef kate armstrong run her life and her kitchen with intimidating intensity. however, a recipe for disaster may be in the work when she becomes the guardian of her young niece while crossing fork with the brash sous-chef who just joined her staff. though romance bloom in the face of rivalry, kate need to look outside the kitchen to find true happiness. comedy italy competition loss_of_mother loss_of_sister new_love cook cooking restaurant bars_and_restaurants mother_role funeral kitchen perfectionist catherine_zeta-jones aaron_eckhart abigail_breslin scott_hicks life isn't always made to order."
Kick-Ass,"dave lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he ha no powers, training or meaningful reason to do so. action crime crime_fighter secret_identity comic_book superhero murder comedy mafia teenager violence realism rookie adaptation young_adult kickass aaron_taylor-johnson chloë_grace_moretz christopher_mintz-plasse matthew_vaughn shut up. kick ass."
30 Minutes or Less,"two fledgling criminal kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he ha mere hour to rob a bank or else... action adventure comedy pizza_delivery adventure pizza_boy number_in_title comedy aftercreditsstinger jesse_eisenberg danny_mcbride aziz_ansari ruben_fleischer a lot can happen in 30 minutes."
Dracula 2000,"in the millenium version of this classic gothic horror we find abraham van helsing (plummer), who ha tangled with count dracula (butler) in the past, working a an english antique dealer. simon (miller) is a vampire hunter in training under his apprenticeship. thriller horror vampire dracula bite blood vlad fang_vamp gerard_butler christopher_plummer jonny_lee_miller patrick_lussier the most seductive evil of all time has now been unleashed in ours."
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","alexander's day begin with gum stuck in his hair, followed by more calamities. though he find little sympathy from his family and begin to wonder if bad thing only happen to him, his mom, dad, brother, and sister all find themselves living through their own terrible, horrible, no good, very bad day. family comedy based_on_novel job_interview bad_luck wish one_day based_on_children's_book driver's_test steve_carell jennifer_garner ed_oxenbould miguel_arteta one day can change everything."
Pride & Prejudice,"pride & prejudice is a humorous story of love and life among english gentility during the georgian era. mr. bennet is an english gentleman living in hertfordshire with his overbearing wife and five daughters. if mr. bennet dy their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughter making good marriages. drama romance bachelor beautiful prejudice suitor period_drama georgian pride 18th_century opposites_attract keira_knightley matthew_macfadyen rosamund_pike joe_wright a romance ahead of it time."
Blade Runner,"in the smog-choked dystopian los angeles of 2019, blade runner rick deckard is called out of retirement to terminate a quartet of replicants who have escaped to earth seeking their creator for a way to extend their short life spans. science_fiction drama thriller artificial_intelligence man_vs_machine cyborg bounty_hunter android dystopia genetics fugitive cyberpunk los_angeles tech_noir neo-noir harrison_ford rutger_hauer sean_young ridley_scott man ha made his match... now it's his problem."
Rob Roy,"in the highland of scotland in the 1700s, rob roy try to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. when the money is stolen, rob is forced into a robin hood lifestyle to defend his family and honour. adventure scotland biography 18th_century highland violent_man liam_neeson jessica_lange john_hurt michael_caton-jones honor made him a man. courage made him a hero. history made him a legend."
We Own the Night,a new york nightclub manager try to save his brother and father from russian mafia hitmen. drama crime thriller new_york father_son_relationship nightclub gangster joaquin_phoenix eva_mendes alex_veadov james_gray two brother on opposite side of the law. beyond their difference lie loyalty.
Just My Luck,"manhattanite ashley is known to many a the luckiest woman around. after a chance encounter with a down-and-out young man, however, she realizes that she's swapped her fortune for his. comedy drama family fantasy romance jinx bad_luck kiss romantic_comedy alcohol_abuse celebration envy luck mysterious_stranger masquerade lindsay_lohan samaire_armstrong chris_pine donald_petrie everything changed in the wink of an eye."
"Mystery, Alaska","in mystery, alaska, life revolves around the legendary saturday hockey game at the local pond. but everything change when the hometown team unexpectedly get booked in an exhibition match against the new york rangers. when quirky small-towners, slick promoter and millionaire athlete come together. drama comedy sport ice_hockey russell_crowe hank_azaria mary_mccormack jay_roach a small town on the outskirts of greatness."
The Spy Next Door,"former cia spy bob ho take on his toughest assignment to date: looking after his girlfriend's three kids, who haven't exactly warmed to their mom's beau. and when one of the youngster accidentally downloads a top-secret formula, bob's longtime nemesis, a russian terrorist, pay a visit to the family. action comedy family duringcreditsstinger amber_valletta lucas_till jackie_chan brian_levant spying is easy, babysitting is hard"
A Simple Wish,"murray is a male fairy godmother, and he is trying to help 8-year-old anabel to fulfil her ""simple wish"" - that her father oliver, who is a cab driver, would win the leading role in a broadway musical. unfortunately, murray's magic wand is broken and the fairy convention is threatened by evil witch claudia and boots. adventure comedy family fantasy magic wish kid fairy_godmother martin_short kathleen_turner mara_wilson michael_ritchie anabel made a wish. murray made a mess"
Ghosts of Mars,melanie ballard (natasha henstridge) is a hard nosed police chief in the year 2025. she and a police snatch squad are sent to mars to apprehend a dangerous criminal james williams (ice cube). mars ha been occupied by human for some time and they have set up mining facilities. the mining activity on mars have unleashed the spirit of alien being who gradually possess the body of the workers. it soon turn out that catching the dangerous fugitive take a back seat a the alien spirit begin to rid their planet of the 'invaders'. action horror science_fiction climbing_up_a_wall hung_upside_down flashback_within_a_flashback cavern battering ram ghost_town natasha_henstridge ice_cube jason_statham john_carpenter terror is the same on any planet.
Our Brand Is Crisis,"a feature film based on the documentary ""our brand is crisis"", which focus on the use of american political campaign strategy in south america. comedy drama bolivia woman political_campaign south_america year_2002 sandra_bullock anthony_mackie billy_bob_thornton david_gordon_green may the best campaign win."
Pride and Prejudice and Zombies,"a zombie outbreak ha fallen upon the land in this reimagining of jane austen’s classic tale of the tangled relationship between lover from different social class in 19th century england. feisty heroine elizabeth bennet (lily james) is a master of martial art and weaponry and the handsome mr. darcy (sam riley) is a fierce zombie killer, yet the epitome of upper class prejudice. as the zombie outbreak intensifies, they must swallow their pride and join force on the blood-soaked battlefield in order to conquer the undead once and for all. romance horror comedy thriller based_on_novel dystopia shaolin prejudice zombie pride golddigger regency_period parson mashup lily_james sam_riley jack_huston burr_steers bloody lovely."
How to Lose Friends & Alienate People,"a british writer struggle to fit in at a high-profile magazine in new york. based on toby young's memoir ""how to lose friends &amp; alienate people"". comedy romance drama failure starlet kelan_pannell janette_scott simon_pegg robert_b._weide he's across the pond, and out of his depth."
Kick-Ass 2,"after kick-ass’ insane bravery inspires a new wave of self-made masked crusaders, he join a patrol led by the colonel stars and stripes. when these amateur superheroes are hunted down by red mist — reborn a the mother fucker — only the blade-wielding hit-girl can prevent their annihilation. action adventure crime crime_fighter secret_identity marvel_comic superhero aftercreditsstinger teen_superheroes aaron_taylor-johnson chloë_grace_moretz christopher_mintz-plasse jeff_wadlow you can't fight your destiny."
Brick Mansions,"in a dystopian detroit, grand house that once housed the wealthy are now home of the city's most-dangerous criminals. surrounding the area is a giant wall to keep the rest of detroit safe. for undercover cop damien collier, every day is a battle against corruption a he struggle to bring his father's killer, tremaine, to justice. meanwhile, damien and an ex-con named lino work together to save the city from a plot to destroy it. action crime drama martial_art atomic_bomb ghetto parkour cop remake undercover_cop gangster remake_of_french_film paul_walker david_belle rza camille_delamarre undercover and never outgunned"
Octopussy,james bond is sent to investigate after a fellow “00” agent is found dead with a priceless farberge egg. james bond follows the mystery and uncovers a smuggling scandal and a russian general who want to provoke a new world war. adventure action thriller atomic_bomb eastern_block crocodile secret_intelligence_service kgb snake_charmer hot_air_balloon east_berlin british_secret_service roger_moore maud_adams louis_jourdan john_glen james bond’s all time high.
Knocked Up,"for fun loving party animal ben stone, the last thing he ever expected wa for his one night stand to show up on his doorstep eight week later to tell him she's pregnant. comedy romance drama alcohol one-night_stand bed pregnancy_and_birth condom paternity drug_use beard unprotected_sex duringcreditsstinger seth_rogen katherine_heigl leslie_mann judd_apatow save the due date."
My Sister's Keeper,"sara and brian live an idyllic life with their young son and daughter. but their family is rocked by sudden, heartbreaking news that force them to make a difficult and unorthodox choice in order to save their baby girl's life. the parents' desperate decision raise both ethical and moral question and rip away at the foundation of their relationship. their action ultimately set off a court case that threatens to tear the family apart, while revealing surprising truth that challenge everyone's perception of love and loyalty and give new meaning to the definition of healing. drama parents_kids_relationship sister_sister_relationship court_case in_vitro_fertilisation medical_examiner kidney_transplant_ cameron_diaz alec_baldwin abigail_breslin nick_cassavetes a tale of life, love, and letting go."
Welcome Home Roscoe Jenkins,"martin lawrence lead an all-star cast, including cedric the entertainer, mo'nique, and mike epps, in the hit comedy ""welcome home roscoe jenkins."" when a celebrated tv show host (lawrence) return to his hometown in the south, his family is there to remind him that going home is no vacation! it's one outrageous predicament after another when big-city attitude and small-town value collide in this hysterical comedy critic are praising for it ""over-the-top hilarity!"" (roger moore, orlando sentinel). comedy drama talk_show martin_lawrence james_earl_jones margaret_avery malcolm_d._lee roscoe jenkins aim for the heartstrings and funny bones, a raucous helping of family soul food."
A Passage to India,"the film is set during the period of growing influence of the indian independence movement in the british raj. it begin with the arrival in india of a british woman, miss adela quested (judy davis), who is joining her fiancé, a city magistrate named ronny heaslop (nigel havers). she and ronny's mother, mrs. moore (peggy ashcroft), befriend an indian doctor, aziz h. ahmed (victor banerjee). drama adventure history doctor india english magistrate 1920s mosque judy_davis alec_guinness peggy_ashcroft david_lean david lean, the director of ""doctor zhivago"", ""lawrence of arabia"" and ""the bridge on the river kwai"", invite you on . ."
Notes on a Scandal,"a veteran high school teacher befriends a younger art teacher, who is having an affair with one of her 15-year-old students. however, her intention with this new ""friend"" also go well beyond platonic friendship. drama romance sex adultery based_on_novel cat infidelity secret obsession blackmail nudity seduction studio friendship stalker love loneliness teacher conservative student teenager relationship art female_stalker extramarital_affair journal sitting_on_a_toilet judi_dench cate_blanchett bill_nighy richard_eyre one woman's secret is another woman's power. one woman's fear is another woman's weapon. one woman's life is in another woman's hands...."
Rendition,"when an egyptian terrorism suspect ""disappears"" on a flight from africa to washington dc, his american wife and a cia analyst find themselves caught up in a struggle to secure his release from a secret detention facility somewhere outside the us. drama thriller anti_terror terror cia loss_of_son police_brutality terrorist loss_of_brother war_against_terror kidnapping intelligence despair inhumanity senator plo civil_rights_activist hijacking terror_cell loss_of_husband politics politician government loss_of_daughter torture_by_the_police torture cruelty american surveillance omar_metwally reese_witherspoon jake_gyllenhaal gavin_hood what if someone you love...just disappeared?"
Star Trek VI: The Undiscovered Country,"on the eve of retirement, kirk and mccoy are charged with assassinating the klingon high chancellor and imprisoned. the enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace. science_fiction action adventure thriller farewell federation starfleet peace_conference uss_enterprise-a rura_penthe court_case peace_contract plan klingon space_opera william_shatner leonard_nimoy deforest_kelley nicholas_meyer the battle for peace ha begun."
Divine Secrets of the Ya-Ya Sisterhood,"a mother and daughter dispute is resolved by the ""yaya sisterhood"" - long time friend of the mother. comedy drama romance secret_society conciliation marriage mother_daughter_relationship playwright family_feud woman_director sandra_bullock ellen_burstyn fionnula_flanagan callie_khouri the secret is out."
Kiss the Girls,"forensic psychologist alex cross travel to north carolina and team with escaped kidnap victim kate mctiernan to hunt down ""casanova,"" a serial killer who abducts strong-willed woman and force them to submit to his demands. the trail lead to los angeles, where the duo discovers that the psychopath may not be working alone. drama mystery thriller crime washington_d.c. covered_investigation investigation north_carolina missing_person morgan_freeman ashley_judd cary_elwes gary_fleder smart girls. pretty girls. missing girls."
The Blues Brothers,"jake blues is just out of jail, and team up with his brother, elwood on a 'mission from god' to raise fund for the orphanage in which they grew up. the only thing they can do is do what they do best – play music – so they get their old band together and they're on their way, while getting in a bit of trouble here and there. music comedy action crime dancing prison chicago country_music nun jazz car_journey blue nazi music concert music_instrument children's_home shopping_mall orphanage winnebago church sunglass parole car_chase music_band loudspeaker saturday_night_live wrigley_field holiday_inn dan_aykroyd john_belushi james_brown john_landis they'll never get caught. they're on a mission from god."
The Sisterhood of the Traveling Pants 2,"four young woman continue the journey toward adulthood that began with ""the sisterhood of the traveling pants."" now three year later, these lifelong friend embark on separate path for their first year of college and the summer beyond, but remain in touch by sharing their experience with each other. adventure comedy drama family female_friendship best_friend summer_vacation woman_director young_adult alexis_bledel amber_tamblyn america_ferrera sanaa_hamri some friend just fit together."
Joyful Noise,"g.g. sparrow face off with her choir's newly appointed director, vi rose hill, over the group's direction a they head into a national competition. comedy music queen_latifah dolly_parton keke_palmer todd_graff dream a whole lot louder"
About a Boy,"will freeman is a hip londoner who one day realizes that his friend are all involved with the responsibility of married life and that leaf him alone in the cold. passing himself off a a single father, he start to meet a string of single mums, confident in his ability to leave them behind when they start to ask for a commitment. but will's hope of a continued bachelorhood is interrupted when he meet 12-year old marcus, in many way his complete opposite. drama comedy romance london_england rock_and_roll single_parent rap_music bachelor becoming_an_adult friendship single hugh_grant nicholas_hoult toni_collette chris_weitz one ordinary couple. one little white lie."
Lake Placid,"when a man is eaten alive by an unknown creature, the local game warden team up with a paleontologist from new york to find the beast. add to the mix an eccentric philanthropist with a penchant for ""crocs"", and here we go! this quiet, remote lake is suddenly the focus of an intense search for a crocodile with a taste for live animals...and people! horror comedy action science_fiction thriller diving sheriff lake crocodile deputy paleontologist cow maine decapitation severed_head scientist remote tooth bear_attack campfire severed_toe torso_cut_in_half giant_crocodile crocodile_attack animal_horror bill_pullman bridget_fonda oliver_platt steve_miner you'll never know what bit you."
Lucky Number Slevin,"slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. under constant watch, slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. a film with many twist and turns. drama thriller crime mystery assassination assassin identity sniper mistake_in_person jew gangster_boss gambling_debts bos murder sniper_rifle fbi_agent horse_racing gambler slevin caso hoodlum black_man josh_hartnett bruce_willis lucy_liu paul_mcguigan wrong time. wrong place. wrong number."
The Right Stuff,"a chronicle of the original mercury astronaut in the formation of america's space program: alan shepherd, the first american in space; gus grissom, the benighted astronaut for whom nothing work out a planned; john glenn, the straight-arrow 'boy scout' of the bunch who wa the first american to orbit the earth; and the remaining pilots: deke slayton, scott carpenter and wally schirra. drama history cold_war pilot space_travel politics historical_figure flight astronaut space_race sound_barrier fred_ward dennis_quaid ed_harris philip_kaufman how the future began."
Anonymous,"set against the backdrop of the succession of queen elizabeth i, and the essex rebellion against her, the story advance the theory that it wa in fact edward de vere, earl of oxford who penned shakespeare's plays. drama history thriller shakespeare anonymity poet play political duringcreditsstinger false_history jamie_campbell_bower rhys_ifans david_thewlis roland_emmerich was shakespeare a fraud?"
The NeverEnding Story,"while hiding from bully in his school's attic, a young boy discovers the extraordinary land of fantasia, through a magical book called the neverending story. the book tell the tale of atreyu, a young warrior who, with the help of a luck dragon named falkor, must save fantasia from the destruction of the nothing. drama family fantasy adventure based_on_novel fictional_place wolf mythology magic horse book fairy_tale bully school talking_animal reading book_store fantasy_world giant gnome quest barret_oliver gerald_mcraney noah_hathaway wolfgang_petersen a boy who need a friend find a world that need a hero in a land beyond imagination!"
Dark City,"a man struggle with memory of his past, including a wife he cannot remember, in a nightmarish world with no sun and run by being with telekinetic power who seek the soul of humans. mystery science_fiction soul sleep manipulation future dystopia chaos memory duel parallel_world tech_noir matrix neo-noir retrofuturism rufus_sewell william_hurt kiefer_sutherland alex_proyas a world where the night never ends."
The Duchess,"a chronicle of the life of 18th century aristocrat georgiana, duchess of devonshire, who wa reviled for her extravagant political and personal life. drama history romance england adultery duke gambling_debts marriage_crisis keira_knightley ralph_fiennes aidan_mcardle saul_dibb based on the incredible true story."
Return to Oz,"dorothy, saved from a psychiatric experiment by a mysterious girl, find herself back in the land of her dreams, and make delightful new friends, and dangerous new enemies. adventure family fantasy wizard_of_oz fairuza_balk nicol_williamson jean_marsh walter_murch an all-new adventure down the yellow brick road."
The Newton Boys,"four newton brother are a poor farmer family in the 1920s. the oldest of them, willis, one day realizes that there's no future in the field and offer his brother to become a bank robbers. soon the family agrees. they become very famous robbers, and five year later execute the greatest train robbery in american history. crime action drama bank_robber crime_spree western_u.s. matthew_mcconaughey skeet_ulrich ethan_hawke richard_linklater four brothers. four criminals. for the money... they would stop at nothing."
Case 39,"in her many year a a social worker, emily jenkins belief she ha seen it all, until she meet 10-year-old lilith and the girl's cruel parents. emily's worst fear are confirmed when the parent try to harm the child, and so emily assumes custody of lilith while she look for a foster family. however, emily soon find that dark force surround the seemingly innocent girl, and the more she try to protect lilith, the more horror she encounters. horror mystery thriller child_abuse detective social_worker supernatural murder mental_institution youth violence danger cityscape drawn falling_elevator pier psychological deadly mind_and_soul supernatural_ability renée_zellweger jodelle_ferland ian_mcshane christian_alvart some case should never be opened."
Suspect Zero,"a killer is on the loose, and an fbi agent sifts through clue and learns that the bloodthirsty felon's victim of choice are other serial killers. crime thriller serial_killer carrie-anne_moss aaron_eckhart ben_kingsley e._elias_merhige who's next?"
Martian Child,"a recently-widowed, science fiction writer considers whether to adopt a hyper-imaginative 6-year-old abandoned and socially-rejected boy who say he's really from mars. drama underdog adoption education adoptive_father childhood_trauma alienation alien john_cusack bobby_coleman amanda_peet menno_meyjes doesn't matter where you come from, a long a you find where you belong!"
Money Monster,financial tv host lee gates and his producer patty are put in an extreme situation when an irate investor take over their studio. thriller bomb sniper tv_show hostage_drama police hostage-taking new_york_city stock_market stock_fraud woman_director tv_studio george_clooney julia_roberts jack_o'connell jodie_foster not every conspiracy is a theory.
The 51st State,"elmo mcelroy is a streetwise american master chemist who head to england to sell his special new formula - a powerful, blue concoction guaranteed to take you to 'the 51st state.' mcelroy's new product delivers a feeling 51 time more powerful than any thrill, any pleasure, any high in history. but his plan for a quick, profitable score go comically awry when he get stuck in liverpool with an unlikely escort and his ex-girlfriend and becomes entangled in a bizarre web of double-dealing and double-crosses. thriller action comedy crime chemical laxative skinhead samuel_l._jackson robert_carlyle emily_mortimer ronny_yu nice wheels. dirty deals. and one mean mother in a kilt."
Mindhunters,"trainees in the fbi's psychological profiling program must put their training into practice when they discover a killer in their midst. mystery thriller crime fbi island serial_killer series_of_murders ll_cool_j jonny_lee_miller kathryn_morris renny_harlin for seven elite profilers, finding a serial killer is a process of elimination. their own."
What Just Happened,"during the course of an ordinary week in hollywood, movie producer ben (robert de niro) must navigate his way through shark-infested water a he struggle to complete his latest projects. a demanding studio bos (catherine keener) demand extensive change to a movie starring sean penn, while another chief won't greenlight a project unless star bruce willis shave his beard. meanwhile, ben try to reconcile with his wife and maintain a relationship with his young daughter. comedy drama film_producer midlife_crisis independent_film divorce bruce_willis robert_de_niro sean_penn barry_levinson admit nothing."
The Statement,"the film is set in france in the 1990s, the french were defeated by the germans early in world war ii, an armistice wa signed in 1940 which effectively split france into a german occupied part in the north and a semi-independent part in the south which became known a vichy france. in reality the vichy government wa a puppet regime controlled by the germans. part of the agreement wa that the vichy government would assist with the 'cleansing' of jews from france. the vichy government formed a police force called the milice, who worked with the germans... drama thriller michael_caine tilda_swinton jeremy_northam norman_jewison at the end of world war ii, many of those involved in war crime were prosecuted. some got away. until now."
Paul Blart: Mall Cop,"mild-mannered paul blart (kevin james) ha always had huge dream of becoming a state trooper. until then, he patrol the local mall a a security guard. with his closely cropped moustache, personal transporter and gung-ho attitude, only blart seems to take his job seriously. all that change when a team of thug raid the mall and take hostages. untrained, unarmed and a super-size target, blart ha to become a real cop to save the day. action adventure comedy family security_guard duringcreditsstinger kevin_james keir_o'donnell jayma_mays steve_carr safety never takes a holiday."
Freaky Friday,"mother and daughter bicker over everything -- what anna wears, whom she like and what she want to do when she's older. in turn, anna detests tess's fiancé. when a magical fortune cookie switch their personalities, they each get a peek at how the other person feels, think and lives. comedy single_parent brother_sister_relationship mistake_in_person bride talk_show body_exchange motherly_love high_school mother_daughter_relationship wedding psychiatrist body-swap music_band teen_comedy child_as_an_adult adult_as_a_child jamie_lee_curtis lindsay_lohan mark_harmon mark_waters mondays are manic. wednesdays are wild. and fridays are about to get a little freaky."
The 40 Year Old Virgin,"andy stitzer ha a pleasant life with a nice apartment and a job stamping invoice at an electronics store. but at age 40, there's one thing andy hasn't done, and it's really bothering his sex-obsessed male co-workers: andy is still a virgin. determined to help andy get laid, the guy make it their mission to de-virginize him. but it all seems hopeless until andy meet small business owner trish, a single mom. comedy romance first_time virgin steve_carell catherine_keener paul_rudd judd_apatow the longer you wait, the harder it get"
Shakespeare in Love,"young shakespeare is forced to stage his latest comedy, ""romeo and ethel, the pirate's daughter,"" before it's even written. when a lovely noblewoman audition for a role, they fall into forbidden love -- and his play find a new life (and title). as their relationship progresses, shakespeare's comedy soon transforms into tragedy. romance history shakespeare love_of_one's_life oscar_award theatre_play theatre_group writer's_block theatre_milieu author speculative false_history joseph_fiennes gwyneth_paltrow geoffrey_rush john_madden love is the only inspiration."
A Walk Among the Tombstones,private investigator matthew scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife. crime drama mystery thriller based_on_novel murder mafia private_investigator new_york_city alcoholic kingpin wife_murder matt_scudder liam_neeson dan_stevens david_harbour scott_frank some people are afraid of all the wrong thing
Kindergarten Cop,"hard-edged cop john kimble get more than he bargained for when he go undercover a a kindergarten teacher to get the good on a brutal drug lord while at the same time protecting the man's young son. pitted against a class of boisterous moppet whose antic try his patience and test his mettle, kimble may have met his match … in more way than one. comedy crime_fighter cook drug_dealer dying_and_death kindergarten kiss police teacher children_education arnold_schwarzenegger penelope_ann_miller pamela_reed ivan_reitman go ahead, you tell him you didn't do your homework."
Pineapple Express,a stoner and his dealer are forced to go on the run from the police after the pothead witness a cop commit a murder. action comedy smoking marijuana stoner roach lollipop painting_toenails radio_call_in_show driving_through_a_wall seed reference_to_pandora's_box seth_rogen james_franco danny_mcbride david_gordon_green put this in your pipe and smoke it.
Ever After: A Cinderella Story,"a unique 16th century woman, danielle possesses a love of books, and can easily quote from sir thomas more’s utopia. an intriguing mix of tomboyish athleticism and physical beauty, she ha more than enough charm to capture the heart of a prince ... after beaning him with an apple. drama romance comedy france child_abuse slavery leonardo_da_vinci prince fairy_tale royalty orphan evil_stepmother step_siblings 16th_century brigand gypsy classism bandit commoner emotional_abuse drew_barrymore dougray_scott anjelica_huston andy_tennant desire. defy. escape."
Open Range,a former gunslinger is forced to take up arm again when he and his cattle crew are threatened by a corrupt lawman. western horse beef ranger kevin_costner robert_duvall michael_gambon kevin_costner no place to run. no reason to hide.
Flatliners,"five medical student want to find out if there is life after death. they plan to stop one of their heart for a few seconds, thus simulating death, and then bring the person back to life. a science fiction thriller from the early 1990's with a star studded cast. drama horror science_fiction thriller life_and_death afterlife swing memory medical_student confetti kiefer_sutherland julia_roberts kevin_bacon joel_schumacher some line shouldn't be crossed."
A Bridge Too Far,tells the story of operation market garden. a failed attempt by the ally in the latter stage of wwii to end the war quickly by securing three bridge in holland allowing access over the rhine into germany. a combination of poor allied intelligence and the presence of two crack german panzer division meant that the final part of this operation (the bridge in arnhem over the rhine) wa doomed to failure. drama history war netherlands world_war_ii panzer british_soldier dirk_bogarde james_caan michael_caine richard_attenborough out of the sky come the screen's most incredible spectacle of men and war!
Red Eye,"after attending the funeral of her grandmother in dallas, the lux atlantic hotel manager lisa is waiting for a flight to miami. due to the bad weather and consequent flight delay, she meet in the airport bar jack rippner, who is also in the waiting list. they sit together in the plane, and jack reveals that he want lisa to change the room in lux of an important american politician to facilitate a terrorist attempt against him. otherwise, lisa's father will be killed by a hit man. lisa ha to decide what to do with the menacing man at her side. horror thriller hostage menace hitman airplane rachel_mcadams cillian_murphy brian_cox wes_craven fear take flight."
Final Destination 2,"when kimberly ha a violent premonition of a highway pileup she block the freeway, keeping a few others meant to die, safe...or are they? the survivor mysteriously start dying and it's up to kimberly to stop it before she's next. horror mystery ambulance premonition hospital ali_larter a.j._cook michael_landes david_r._ellis death is like a boomerang. it keep coming back"
"O Brother, Where Art Thou?","in the deep south during the 1930s, three escaped convict search for hidden treasure while a relentless lawman pursues them. on their journey they come across many comical character and incredible situations. based upon homer's 'odyssey'. action adventure comedy prophecy southern_usa music_record country_music mississippi seduction musical fraud george_clooney john_turturro tim_blake_nelson joel_coen they have a plan...but not a clue."
Legion,"when god loses faith in humankind, he sends his legion of angel to bring on the apocalypse. humanity's only hope for survival lie in a group of stranger trapped in an out-of-the-way, desert diner with the archangel michael. horror angel diner religion apocalypse demon desert angel paul_bettany dennis_quaid kevin_durand scott_stewart when the last angel falls, the fight for mankind begins."
